aircraftType_iataMain;aircraftType_iataSub;route;codeshares;flightStates;eu;visa;flightDirection;flightName;flightNumber;gate;pier;id;isOperationalFlight;mainFlight;prefixIATA;prefixICAO;airlineCode;aircraftRegistration;serviceType;terminal;estimatedLandingTime;lastUpdatedAt;actualLandingTime;scheduleDateTime;actualOffBlockTime;expectedTimeBoarding;expectedTimeGateClosing;expectedTimeGateOpen;expectedTimeOnBelt;expectedSecurityFilter;publicEstimatedOffBlockTime
32S;32Q;LPA;KL2573;ARR,EXP;S;False;A;HV5666;5666;;;143526936641420952;True;HV5666;HV;TRA;164.0;;J;3.0;2025-10-28 23:49:04+00:00;2025-10-29 01:32:08.328000+00:00;2025-10-28 23:48:31+00:00;2025-10-28 23:35:00+00:00;;;;;2025-10-29 00:51:26.434000+00:00;;
32S;32Q;LPA;KL2573;ARR,EXP;S;False;A;KL2573;2573;;;143526937019694886;True;HV5666;KL;KLM;100.0;;J;3.0;2025-10-28 23:49:04+00:00;2025-10-29 01:32:08.328000+00:00;2025-10-28 23:48:31+00:00;2025-10-28 23:35:00+00:00;;;;;2025-10-29 00:51:26.434000+00:00;;
737;73H;TFS;KL2591;ARR,EXP;S;False;A;HV6672;6672;;;143526936641522324;True;HV6672;HV;TRA;164.0;;J;3.0;2025-10-28 23:44:58+00:00;2025-10-29 02:25:40.095000+00:00;2025-10-28 23:44:32+00:00;2025-10-29 00:05:00+00:00;;;;;2025-10-29 00:25:40.708000+00:00;;
737;73H;TFS;KL2591;ARR,EXP;S;False;A;KL2591;2591;;;143526937019695030;True;HV6672;KL;KLM;100.0;;J;3.0;2025-10-28 23:44:58+00:00;2025-10-29 02:25:40.095000+00:00;2025-10-28 23:44:32+00:00;2025-10-29 00:05:00+00:00;;;;;2025-10-29 00:25:40.708000+00:00;;
737;7M8;AYT;;ARR,EXP;N;False;A;OR3026;3026;;;143526937597023726;True;OR3026;OR;TFL;231.0;;J;4.0;2025-10-29 02:30:01+00:00;2025-10-29 05:10:46.163000+00:00;2025-10-29 02:29:59+00:00;2025-10-29 01:10:00+00:00;;;;;2025-10-29 03:02:46.725000+00:00;;
74F;74N;NRT,ANC;;LND,EXP;N;False;A;KZ004;4;;;143526935490061386;True;KZ004;KZ;NCA;131.0;;F;;2025-10-29 02:06:46+00:00;2025-10-29 02:21:43.902000+00:00;2025-10-29 02:06:38+00:00;2025-10-29 02:40:00+00:00;;;;;;;
737;73H;RAK;KL2625;DEP,DEL;N;False;D;HV5753;5753;D5;D;143526936641423611;True;HV5753;HV;TRA;164.0;PHHBJ;J;1.0;;2025-10-29 05:49:37.291000+00:00;;2025-10-29 03:25:00+00:00;2025-10-29 05:37:11+00:00;;;;;;2025-10-29 05:30:00+00:00
737;73H;RAK;KL2625;DEP,DEL;N;False;D;KL2625;2625;D5;D;143526937019697259;True;HV5753;KL;KLM;100.0;PHHBJ;J;1.0;;2025-10-29 05:49:37.291000+00:00;;2025-10-29 03:25:00+00:00;2025-10-29 05:37:11+00:00;;;;;;2025-10-29 05:30:00+00:00
76F;76Y;LEJ;;LND,EXP;S;False;A;QY1446;1446;;;143526937900446296;True;QY1446;QY;BCS;289.0;;F;;2025-10-29 03:53:54+00:00;2025-10-29 04:09:02.828000+00:00;2025-10-29 03:53:47+00:00;2025-10-29 04:15:00+00:00;;;;;;;
787;789;ICN;AF3112,KE5925;ARR,EXP;N;False;A;AF3112;3112;;;143526935610415722;True;KL0856;AF;AFR;80.0;;J;3.0;2025-10-29 03:58:38+00:00;2025-10-29 06:39:58.152000+00:00;2025-10-29 03:58:12+00:00;2025-10-29 04:20:00+00:00;;;;;2025-10-29 04:39:58.708000+00:00;;
77F;77X;PVG;;LND;N;False;A;CZ451;451;;;143526935460086126;True;CZ451;CZ;CSN;43.0;;F;;2025-10-29 04:29:01+00:00;2025-10-29 04:47:03.808000+00:00;2025-10-29 04:29:02+00:00;2025-10-29 04:20:00+00:00;;;;;;;
73F;73K;CDG;;LND;S;False;A;FX4235;4235;;;143526936371429286;True;FX4235;FX;FDX;5326.0;;F;;2025-10-29 04:19:21+00:00;2025-10-29 04:33:56.797000+00:00;2025-10-29 04:19:32+00:00;2025-10-29 04:20:00+00:00;;;;;;;
787;789;ICN;AF3112,KE5925;ARR,EXP;N;False;A;KE5925;5925;;;143526936993771136;True;KL0856;KE;KAL;105.0;;J;3.0;2025-10-29 03:58:38+00:00;2025-10-29 06:39:58.152000+00:00;2025-10-29 03:58:12+00:00;2025-10-29 04:20:00+00:00;;;;;2025-10-29 04:39:58.708000+00:00;;
787;789;ICN;AF3112,KE5925;ARR,EXP;N;False;A;KL0856;856;;;143526937019500346;True;KL0856;KL;KLM;100.0;;J;3.0;2025-10-29 03:58:38+00:00;2025-10-29 06:39:58.152000+00:00;2025-10-29 03:58:12+00:00;2025-10-29 04:20:00+00:00;;;;;2025-10-29 04:39:58.708000+00:00;;
777;77W;ACC;AF8248,DL9373;ARR;N;False;A;AF8248;8248;;;143526935610925224;True;KL0590;AF;AFR;80.0;;J;3.0;2025-10-29 04:47:41+00:00;2025-10-29 06:52:36.109000+00:00;2025-10-29 04:47:31+00:00;2025-10-29 04:45:00+00:00;;;;;2025-10-29 06:15:04.354000+00:00;;
